question,expected_answer,generated_answer,status,confidence,verification,similarity_score,num_citations,response_time,retrieval_time,generation_time,manual_correctness,notes
What problem does the paper 'LLM attribution analysis across different fine-tuning strategies and model scales for automated code compliance' address?,LLM attribution analysis across different fine-tuning strategies and model scales for automated code...,No relevant documents found for this query.,No Documents,,No Sources Retrieved,0.099,0,0.6105749607086182,0.6105749607086182,0,,
What problem does the paper 'Synthetic data in cryptocurrencies using generative models' address?,"Synthetic data in cryptocurrencies using generative models

Data plays a fundamental role in consoli...",No relevant documents found for this query.,No Documents,,No Sources Retrieved,0.103,0,0.7618980407714844,0.7618980407714844,0,,
What problem does the paper 'Prototype-Grounded Concept Models for Verifiable Concept Alignment' address?,"Prototype-Grounded Concept Models for Verifiable Concept Alignment

Concept Bottleneck Models (CBMs)...",No relevant documents found for this query.,No Documents,,No Sources Retrieved,0.052,0,0.03825521469116211,0.03825521469116211,0,,
What problem does the paper 'IUQ: Interrogative Uncertainty Quantification for Long-Form Large Language Model Generation' address?,"IUQ: Interrogative Uncertainty Quantification for Long-Form Large Language Model Generation

Despite...",No relevant documents found for this query.,No Documents,,No Sources Retrieved,0.077,0,0.0411529541015625,0.041152000427246094,0,,
What problem does the paper 'Prism: Symbolic Superoptimization of Tensor Programs' address?,"Prism: Symbolic Superoptimization of Tensor Programs

This paper presents Prism, the first symbolic ...",No relevant documents found for this query.,No Documents,,No Sources Retrieved,0.081,0,0.35988306999206543,0.359882116317749,0,,
What problem does the paper 'Ragged Paged Attention: A High-Performance and Flexible LLM Inference Kernel for TPU' address?,"Ragged Paged Attention: A High-Performance and Flexible LLM Inference Kernel for TPU

Large Language...",No relevant documents found for this query.,No Documents,,No Sources Retrieved,0.085,0,0.05678105354309082,0.05678105354309082,0,,
What problem does the paper 'Learning Uncertainty from Sequential Internal Dispersion in Large Language Models' address?,"Learning Uncertainty from Sequential Internal Dispersion in Large Language Models

Uncertainty estim...",No relevant documents found for this query.,No Documents,,No Sources Retrieved,0.11,0,0.01643204689025879,0.01643204689025879,0,,
What problem does the paper 'Towards Faster Language Model Inference Using Mixture-of-Experts Flow Matching' address?,"Towards Faster Language Model Inference Using Mixture-of-Experts Flow Matching

Flow matching retain...",No relevant documents found for this query.,No Documents,,No Sources Retrieved,0.096,0,0.05888724327087402,0.05888724327087402,0,,
What problem does the paper 'Dr.~RTL: Autonomous Agentic RTL Optimization through Tool-Grounded Self-Improvement' address?,"Dr.~RTL: Autonomous Agentic RTL Optimization through Tool-Grounded Self-Improvement

Recent advances...",No relevant documents found for this query.,No Documents,,No Sources Retrieved,0.074,0,0.018124103546142578,0.018124103546142578,0,,
What problem does the paper 'Polarization by Default: Auditing Recommendation Bias in LLM-Based Content Curation' address?,"Polarization by Default: Auditing Recommendation Bias in LLM-Based Content Curation

Large Language ...",No relevant documents found for this query.,No Documents,,No Sources Retrieved,0.099,0,0.06687498092651367,0.06687498092651367,0,,
